,主队身价,主队评价年龄,主队平均身高,客队身价,客队平均年龄,客队平均身高
0,47,33,183,1910,33,182
1,920,31,182,305,34,185
2,524,33,183,153,33,182
3,646,33,186,393,32,186
4,1544,32,183,2303,30,183
5,201,33,183,189,33,183
6,4110,34,179,42,1,31
7,471,31,180,2631,31,185
8,2003,29,179,2944,31,179
9,2601,32,183,1199,32,184
10,2631,31,186,920,31,183
11,189,33,183,4110,33,179
12,393,32,186,1544,32,183
13,2303,30,183,646,33,185
14,305,34,185,2601,32,182
15,153,32,183,47,33,183
16,524,33,183,2944,32,180
17,1910,33,179,2003,31,179
18,42,1,30,181,201,33
19,1199,31,183,471,31,179
20,2303,30,183,2944,31,180
21,920,31,184,42,1,30
22,646,33,185,471,31,179
23,1910,33,181,153,32,183
24,305,34,185,2003,32,179
25,1544,32,186,189,34,184
26,2601,32,183,524,33,183
27,47,33,183,2631,31,186
28,393,31,186,201,33,183
29,4110,33,178,1199,31,183
30,2631,31,186,4110,32,181
31,201,32,182,646,33,184
32,1199,31,182,305,33,185
33,2003,32,179,920,32,181
34,471,32,181,393,30,186
35,524,32,184,47,33,183
36,189,33,184,2303,30,184
37,2944,32,180,1910,33,181
38,153,32,185,2601,32,183
39,42,1,30,183,1544,33
40,2601,32,183,2944,31,180
41,393,32,186,1199,32,183
42,47,33,183,2003,32,178
43,4110,33,180,471,32,180
44,1910,33,182,524,32,183
45,1544,33,185,201,32,183
46,305,33,186,2631,30,189
47,646,33,184,189,33,184
48,920,32,181,153,32,185
49,2303,31,186,42,1,30
50,2631,31,185,1910,33,182
51,471,32,180,1544,33,183
52,42,1,30,184,646,34
53,189,33,183,393,33,186
54,201,32,183,2303,30,184
55,153,33,183,4110,33,180
56,2944,31,180,47,32,183
57,1199,32,184,920,32,183
58,2003,32,178,2601,33,183
59,524,32,185,305,34,186
60,1544,33,182,646,33,185
61,153,33,183,2944,31,180
62,1199,32,184,201,31,183
63,42,1,29,182,393,33
64,47,32,183,2601,32,183
65,305,34,185,471,32,180
66,2631,31,185,189,33,183
67,2303,31,183,4110,34,179
68,1910,33,182,920,32,183
69,524,32,185,2003,32,179
70,2601,32,183,1910,32,182
71,393,33,186,2303,30,184
72,471,32,180,47,32,185
73,2003,32,179,153,33,181
74,4110,31,180,1544,33,181
75,189,34,183,42,1,30
76,646,33,185,1199,32,182
77,201,32,183,305,33,186
78,920,32,183,524,32,185
79,2944,30,182,2631,32,187
80,471,31,180,2303,30,183
81,1199,31,184,42,1,30
82,524,32,184,1544,33,183
83,153,32,182,305,34,186
84,2003,31,179,201,31,183
85,1910,34,182,646,33,186
86,47,34,185,189,34,183
87,2944,30,181,393,33,186
88,4110,32,180,920,32,183
89,2601,32,183,2631,31,187
90,42,1,31,181,2003,30
91,393,34,187,4110,33,180
92,201,31,181,471,32,180
93,305,34,185,47,32,186
94,2303,30,183,1910,34,181
95,2631,31,184,524,32,184
96,646,33,186,2944,30,180
97,1544,31,184,1199,31,183
98,920,32,183,2601,32,183
99,189,34,182,153,32,184
100,1199,32,180,189,34,183
101,524,31,184,646,33,185
102,471,32,181,42,1,31
103,4110,34,179,201,31,182
104,2601,32,183,1544,32,184
105,2003,31,180,2303,31,183
106,2944,31,180,305,34,184
107,47,32,186,920,32,183
108,153,32,184,2631,33,185
109,1910,33,182,393,34,187
110,2631,30,183,2003,32,180
111,42,1,30,182,47,33
112,920,31,182,2944,30,181
113,646,32,186,4110,34,179
114,189,33,183,471,31,181
115,1544,33,182,153,32,182
116,305,33,186,1910,33,181
117,2303,30,183,1199,32,181
118,201,30,180,2601,32,183
119,393,34,187,524,32,184
120,524,32,185,4110,34,179
121,2944,30,181,42,1,30
122,47,33,184,393,34,187
123,1910,33,181,201,30,180
124,153,32,182,646,32,187
125,2601,32,183,2303,30,185
126,305,34,185,189,32,184
127,2003,32,180,471,30,181
128,2631,31,184,1199,32,181
129,920,30,183,1544,33,183
130,4110,33,180,2601,32,181
131,42,1,31,181,1910,33
132,189,32,184,524,32,183
133,646,33,186,920,30,182
134,393,34,187,305,33,185
135,2303,30,184,153,31,182
136,1199,30,182,2003,32,180
137,471,31,181,2944,30,181
138,1544,33,184,2631,31,185
139,201,31,180,47,33,184
0,309,34,185,1544,32,183
1,2003,32,180,189,32,182
2,153,32,181,42,1,32
3,524,33,184,471,31,180
4,47,33,184,646,33,186
5,1910,33,183,4110,32,181
6,2601,32,183,393,34,187
7,2631,31,185,2303,31,183
8,920,31,182,201,30,180
9,2944,30,181,1199,32,181
10,471,31,181,1910,33,183
11,1544,33,181,2003,31,180
12,201,30,180,2944,31,181
13,42,1,31,184,2601,32
14,1199,32,183,524,32,184
15,2303,30,184,47,33,184
16,4110,33,179,309,33,183
17,393,34,187,153,33,180
18,646,33,187,2631,31,185
19,189,33,183,920,32,181
20,646,33,186,2601,32,183
21,42,1,30,182,309,35
22,189,33,184,1910,33,183
23,201,31,180,153,32,181
24,1199,32,183,47,33,185
25,393,33,187,2631,32,186
26,471,32,180,920,30,182
27,2303,30,183,524,32,184
28,4110,33,180,2003,31,180
29,1544,32,182,2944,31,181
30,309,35,185,646,33,187
31,1910,32,181,1544,31,182
32,524,32,184,201,31,181
33,2601,32,183,471,32,180
34,2003,31,181,393,33,187
35,2631,32,184,42,1,32
36,153,31,182,1199,33,184
37,47,33,185,4110,33,179
38,2944,31,181,189,33,184
39,920,31,181,2303,31,184
40,47,33,185,1544,32,183
41,2601,32,182,189,33,182
42,1910,31,181,1199,33,184
43,524,33,183,42,1,33
44,2631,31,187,201,31,183
45,153,33,184,471,32,179
46,920,31,184,393,33,187
47,2944,32,180,4110,33,180
48,309,33,185,2303,30,183
49,2003,31,182,646,32,187
0,201,31,181,1910,33,181
1,1544,29,183,920,31,181
2,4110,33,180,524,32,184
3,393,33,187,47,34,185
4,42,1,31,182,2944,32
5,1199,32,182,2631,32,185
6,471,31,180,2003,31,181
7,646,33,187,153,32,184
8,189,33,186,309,33,186
9,2303,31,184,2601,32,183
10,2303,31,184,393,33,187
11,524,32,184,920,30,183
12,309,33,187,201,32,183
13,42,1,31,182,189,33
14,47,33,185,471,32,181
15,1199,32,182,646,34,186
16,153,32,185,2003,32,182
17,1910,31,180,2601,32,182
18,1544,29,185,4110,32,179
19,2631,31,185,2944,31,181
20,2944,32,180,153,32,184
21,189,33,183,2631,32,186
22,646,34,186,1544,29,185
23,201,31,183,1199,31,182
24,393,33,187,42,1,32
25,471,31,181,309,32,186
26,4110,33,179,2303,30,184
27,920,30,183,1910,32,180
28,2003,32,182,524,32,184
29,2601,32,183,47,32,185
30,471,31,180,646,33,185
31,153,32,184,920,31,180
32,201,31,181,393,33,187
33,42,1,31,182,2303,30
34,2003,32,181,309,32,186
35,524,32,184,1910,32,181
36,2944,31,181,2601,32,183
37,1199,32,182,4110,31,181
38,2631,31,185,47,30,183
39,189,34,184,1544,29,185
40,2601,32,183,2003,31,179
41,646,33,185,42,1,31
42,47,31,185,2944,31,180
43,920,31,181,1199,33,184
44,393,33,187,189,34,184
45,309,33,185,524,32,184
46,1544,30,184,471,32,181
47,2303,30,184,201,31,181
48,4110,32,180,153,32,184
49,1910,33,181,2631,31,186
0,2003,30,179,47,31,184
1,1199,32,182,393,33,187
2,189,34,184,646,33,185
3,42,1,32,181,920,31
4,201,31,181,1544,29,183
5,2631,31,185,309,33,185
6,2944,31,179,2303,30,184
7,524,32,182,2601,32,183
8,153,32,185,1910,32,181
9,471,31,178,4110,31,180
10,646,32,185,201,32,183
11,47,32,186,524,32,182
12,393,34,187,471,32,180
13,1544,29,183,42,1,32
14,2601,32,181,153,32,184
15,309,33,183,1199,32,182
16,2303,30,185,189,34,184
17,1910,33,180,2944,31,179
18,4110,32,180,2631,30,184
19,920,31,181,2003,31,181
20,2631,31,185,471,32,181
21,153,32,184,524,32,183
22,393,34,187,646,32,185
23,309,33,186,920,31,181
24,189,34,186,201,31,183
25,1910,33,180,47,31,184
26,2944,31,180,2003,30,183
27,2303,30,185,1544,30,184
28,42,1,32,180,4110,33
29,1199,33,183,2601,32,181
30,4110,34,180,189,33,184
31,471,32,180,1199,32,183
32,1544,31,184,393,33,185
33,47,31,184,153,32,184
34,2944,31,181,524,32,184
35,2003,32,180,1910,33,181
36,201,32,184,42,1,31
37,646,31,185,2303,30,185
38,2601,29,182,309,33,185
39,920,30,181,2631,30,184
40,393,33,186,2003,31,180
41,646,31,185,309,32,186
42,42,1,31,181,524,32
43,189,33,185,2601,32,183
44,1199,32,182,1910,33,180
45,1544,30,184,47,31,185
46,471,32,180,153,31,186
47,201,33,182,2631,31,183
48,2303,30,184,920,31,181
49,4110,32,179,2944,31,180
0,2944,31,181,1544,29,185
1,524,32,184,2303,29,184
2,47,31,185,1199,32,181
3,309,32,184,42,1,31
4,1910,32,181,189,33,184
5,2631,30,183,393,33,186
6,2601,32,183,646,31,185
7,920,31,181,471,32,180
8,153,31,183,201,32,182
9,2003,32,180,4110,33,179
10,524,32,184,189,33,185
11,1910,32,181,42,1,31
12,309,32,185,393,33,186
13,2631,32,185,1544,30,184
14,920,31,181,646,31,185
15,153,32,183,2303,30,184
16,2003,31,182,1199,32,182
17,47,31,184,201,31,183
18,2601,32,183,4110,33,179
19,2944,31,181,471,31,180
20,2303,30,184,309,31,184
21,1199,32,181,153,32,183
22,393,33,187,920,30,181
23,189,32,183,2944,30,182
24,4110,33,178,47,32,184
25,201,33,183,524,32,183
26,471,32,179,2601,32,183
27,42,1,31,181,2631,31
28,1544,30,184,1910,31,182
29,646,31,185,2003,31,182
30,2303,30,184,471,32,181
31,1544,30,184,524,32,184
32,189,33,185,47,32,185
33,42,1,31,180,1199,31
34,309,33,184,153,32,185
35,646,31,185,1910,33,182
36,920,30,181,4110,34,178
37,393,33,186,2944,31,182
38,2631,30,184,2601,32,183
39,201,33,183,2003,32,182
40,47,31,184,309,32,185
41,1199,31,184,1544,31,184
42,471,32,180,201,32,184
43,153,32,184,189,31,184
44,524,32,183,2631,31,184
45,2944,31,182,646,31,186
46,2601,32,184,920,31,181
47,2003,31,182,42,1,31
48,4110,32,180,393,34,187
49,1910,31,181,2303,30,186
50,189,31,183,1199,31,184
51,42,1,30,180,471,31
52,393,34,187,1910,33,180
53,920,31,181,47,31,184
54,646,32,185,524,32,184
55,2631,29,182,153,32,184
56,1544,30,184,2601,32,183
57,201,32,182,4110,33,179
58,2303,30,184,2003,32,182
59,309,32,184,2944,31,182
60,1199,32,181,2303,30,184
61,4110,32,178,646,31,184
62,471,31,181,189,32,183
63,47,31,184,42,1,30
64,1910,33,180,309,32,185
65,524,32,184,393,32,186
66,153,33,184,1544,31,184
67,2944,31,182,920,31,181
68,2003,31,181,2631,30,182
69,2601,32,184,201,31,182
70,1544,30,184,309,33,186
