,主队身价,主队评价年龄,主队平均身高,客队身价,客队平均年龄,客队平均身高
0,679,28,182,2003,28,182
1,646,31,183,920,27,179
2,2944,28,180,757,27,183
3,1199,29,184,831,28,184
4,393,27,183,1910,27,179
5,2303,28,184,1544,28,184
6,458,29,183,1504,29,182
7,860,26,181,2601,26,183
8,524,30,183,2631,28,186
9,4110,27,181,1622,26,184
10,1544,28,184,393,27,183
11,757,28,183,679,27,183
12,2631,26,187,646,30,183
13,2003,27,182,1199,28,184
14,920,28,181,2303,28,184
15,831,28,184,860,25,182
16,2601,26,182,2944,28,180
17,1910,27,179,524,29,183
18,1622,26,183,458,28,184
19,1504,29,181,4110,27,181
20,860,26,181,2631,27,186
21,646,30,183,1544,28,184
22,393,27,182,2601,28,182
23,524,29,181,920,28,182
24,458,27,182,757,27,183
25,2303,28,183,831,29,183
26,4110,27,180,1910,28,180
27,1199,29,183,1504,28,181
28,679,29,182,1622,26,183
29,2944,28,181,2003,29,182
30,2601,27,183,646,30,183
31,1544,28,184,860,25,182
32,757,27,182,4110,26,182
33,831,28,184,524,30,182
34,1910,28,180,1199,29,182
35,920,28,182,393,27,181
36,2003,27,182,458,28,183
37,1504,27,183,679,28,182
38,2631,27,186,2303,28,184
39,1622,26,184,2944,28,181
40,1544,28,184,2944,29,182
41,2601,26,181,920,28,181
42,4110,27,179,2003,27,183
43,831,28,184,2631,27,183
44,458,28,184,679,27,186
45,646,30,184,860,27,183
46,2303,28,184,1199,29,182
47,1910,27,180,1622,26,184
48,393,27,181,524,29,184
49,757,27,184,1504,28,182
50,1622,26,184,757,27,183
51,1199,29,182,4110,28,180
52,679,27,186,646,29,183
53,2631,27,183,2601,27,181
54,2944,28,180,458,26,184
55,920,28,182,1544,27,184
56,1504,27,183,831,28,181
57,2003,27,183,1910,27,180
58,860,27,182,393,27,181
59,524,29,184,2303,29,184
60,1504,26,182,646,30,183
61,458,26,183,4110,27,182
62,524,29,182,2601,26,183
63,2944,27,181,1199,28,183
64,1622,26,184,920,29,182
65,831,28,182,1544,28,185
66,2631,26,185,2003,27,182
67,2303,29,185,860,27,184
68,679,26,185,393,27,181
69,757,28,181,1910,28,179
70,860,27,183,524,29,182
71,920,28,182,831,28,182
72,1544,29,181,2631,27,183
73,646,30,181,757,27,183
74,2601,27,182,458,28,183
75,1199,28,183,679,26,185
76,393,26,182,2303,29,185
77,1910,28,181,1504,26,182
78,4110,27,182,2944,28,181
79,2003,27,182,1622,26,184
80,831,27,183,2601,26,182
81,1622,26,184,860,27,183
82,2303,28,184,4110,27,183
83,2631,28,183,393,27,182
84,679,26,184,1544,27,183
85,458,27,182,1199,28,183
86,757,27,182,2003,27,183
87,2944,28,181,1910,29,180
88,524,29,183,646,30,182
89,1504,27,181,920,28,182
90,646,31,182,831,28,183
91,860,27,184,2944,28,181
92,4110,27,183,524,29,183
93,1544,26,183,757,27,182
94,393,28,182,458,27,184
95,920,28,182,2631,27,184
96,2601,27,182,2303,28,184
97,2003,27,182,1504,29,181
98,1910,28,181,679,26,184
99,1199,29,182,1622,26,183
100,524,29,182,1544,27,183
101,4110,27,182,679,26,184
102,1199,28,183,2631,26,186
103,2601,27,183,757,27,182
104,393,27,183,646,31,183
105,458,26,184,1910,29,180
106,2303,28,183,2003,27,183
107,2944,27,182,1504,28,180
108,860,27,185,920,28,182
109,1622,26,184,831,28,184
110,757,28,181,1199,28,183
111,1504,28,180,1622,25,183
112,831,28,182,393,27,183
113,2631,26,185,4110,28,182
114,1544,27,184,2601,27,183
115,920,29,182,458,29,183
116,646,31,183,2303,28,184
117,679,26,184,2944,28,182
118,2003,27,182,524,29,182
119,1910,29,182,860,28,184
120,1504,27,182,2601,27,182
121,4110,26,181,393,27,184
122,2003,26,183,920,29,182
123,757,28,181,831,28,182
124,1910,27,179,1544,27,185
125,679,26,184,860,26,183
126,1199,28,183,646,31,184
127,2944,27,182,2303,29,184
128,1622,27,184,524,29,182
129,458,28,182,2631,26,185
130,646,31,182,2944,28,180
131,920,28,181,4110,27,182
132,1544,26,185,2003,27,181
133,831,29,181,679,26,185
134,860,26,183,458,28,180
135,2303,28,184,1910,27,181
136,2631,26,184,757,28,181
137,393,27,184,1622,26,184
138,524,29,182,1504,26,179
139,2601,28,181,1199,29,183
140,1910,27,181,2631,27,184
141,1622,26,184,646,31,183
142,679,26,184,920,28,180
143,2003,26,183,2601,26,181
144,4110,27,182,831,28,181
145,458,27,181,1544,26,184
146,757,27,182,524,29,183
147,1199,29,183,860,27,184
148,2944,28,182,393,26,184
149,1504,27,179,2303,27,184
150,646,29,184,1910,27,180
151,2601,27,182,1622,26,183
152,860,27,186,2003,26,184
153,524,30,182,458,27,181
154,920,28,180,1199,29,185
155,393,26,184,757,27,182
156,2631,28,186,1504,26,180
157,831,28,182,2944,28,181
158,2303,28,184,679,26,185
159,1544,26,184,4110,26,180
160,1544,27,182,1199,28,183
161,2631,27,185,1622,26,184
162,2303,28,184,757,27,182
163,646,30,185,458,28,181
164,860,26,185,1504,26,180
165,393,27,183,2003,26,183
166,831,28,181,1910,27,181
167,2601,28,180,4110,26,180
168,920,28,181,2944,29,179
169,524,30,183,679,26,184
170,458,27,181,831,29,182
171,1504,26,180,1544,27,184
172,4110,27,181,860,27,185
173,2003,27,182,646,30,185
174,1199,29,181,393,28,183
175,1910,27,181,2601,25,183
176,679,26,184,2631,27,184
177,2944,28,180,524,29,182
178,757,27,183,920,27,182
179,1622,26,183,2303,26,184
180,1504,27,183,393,29,183
181,757,29,182,860,27,184
182,1199,29,182,524,30,183
183,679,26,183,2601,29,182
184,1910,27,181,920,27,180
185,458,28,182,2303,27,184
186,2944,29,178,2631,27,185
187,4110,28,179,646,30,184
188,2003,28,183,831,28,183
189,1622,26,186,1544,27,183
190,831,28,181,757,27,181
191,646,30,185,1199,29,182
192,393,28,183,4110,27,180
193,920,26,181,2003,27,182
194,524,30,183,1622,26,184
