,日期,轮次,主队,比分,客队,主队指数,平指数,客队指数,分析,empty,year
0,09-12 19:30,1,富勒姆,0-3, 阿森纳,4.72,3.83,1.67,欧/析,,20-21
1,09-12 22:00,1,水晶宫,1-0, 南安普敦,2.91,3.19,2.54,欧/析,,20-21
2,09-13 00:30,1,利物浦,4-3, 利兹联,1.26,5.93,10.18,欧/析,,20-21
3,09-13 03:00,1,西汉姆,0-2, 纽卡斯尔,2.20,3.32,3.22,欧/析,,20-21
4,09-13 21:00,1,西布朗,0-3, 莱切城,3.80,3.59,1.97,欧/析,,20-21
5,09-13 23:30,1,热刺,0-1, 埃弗顿,1.85,3.48,4.09,欧/析,,20-21
6,09-15 01:00,1,谢菲联,0-2, 狼队,3.38,3.13,2.28,欧/析,,20-21
7,09-15 03:15,1,布莱顿,1-3, 切尔西,4.47,3.74,1.79,欧/析,,20-21
8,01-13 04:15,1,伯恩利,0-1, 曼联,5.58,4.18,1.56,欧/析,,20-21
9,01-21 02:00,1,曼城,2-0, 维拉,1.19,7.30,11.61,欧/析,,20-21
0,09-19 19:30,2,埃弗顿,5-2, 西布朗,1.58,3.63,6.69,欧/析,,20-21
1,09-19 22:00,2,利兹联,4-3, 富勒姆,1.80,3.61,4.51,欧/析,,20-21
2,09-20 00:30,2,曼联,1-3, 水晶宫,1.24,5.89,12.73,欧/析,,20-21
3,09-20 03:00,2,阿森纳,2-1, 西汉姆,1.54,3.81,6.62,欧/析,,20-21
4,09-20 19:00,2,南安普敦,2-5, 热刺,3.10,3.43,2.25,欧/析,,20-21
5,09-20 21:00,2,纽卡斯尔,0-3, 布莱顿,2.42,3.35,2.89,欧/析,,20-21
6,09-20 23:30,2,切尔西,0-2, 利物浦,3.19,3.52,2.17,欧/析,,20-21
7,09-21 02:00,2,莱切城,4-2, 伯恩利,1.67,3.63,5.27,欧/析,,20-21
8,09-22 01:00,2,维拉,1-0, 谢菲联,2.57,3.42,2.62,欧/析,,20-21
9,09-22 03:15,2,狼队,1-3, 曼城,6.66,4.17,1.50,欧/析,,20-21
0,09-26 19:30,3,布莱顿,2-3, 曼联,5.66,3.94,1.61,欧/析,,20-21
1,09-26 22:00,3,水晶宫,1-2, 埃弗顿,3.58,3.26,2.13,欧/析,,20-21
2,09-27 00:30,3,西布朗,3-3, 切尔西,6.64,4.46,1.47,欧/析,,20-21
3,09-27 03:00,3,伯恩利,0-1, 南安普敦,2.89,3.21,2.51,欧/析,,20-21
4,09-27 19:00,3,谢菲联,0-1, 利兹联,2.43,3.17,2.98,欧/析,,20-21
5,09-27 21:00,3,热刺,1-1, 纽卡斯尔,1.48,4.39,6.53,欧/析,,20-21
6,09-27 23:30,3,曼城,2-5, 莱切城,1.31,5.78,8.54,欧/析,,20-21
7,09-28 02:00,3,西汉姆,4-0, 狼队,3.24,3.19,2.29,欧/析,,20-21
8,09-29 00:45,3,富勒姆,0-3, 维拉,2.59,3.27,2.71,欧/析,,20-21
9,09-29 03:00,3,利物浦,3-1, 阿森纳,1.49,4.56,5.96,欧/析,,20-21
0,10-03 19:30,4,切尔西,4-0, 水晶宫,1.36,5.12,8.12,欧/析,,20-21
1,10-03 22:00,4,埃弗顿,4-2, 布莱顿,1.68,3.73,5.13,欧/析,,20-21
2,10-04 00:30,4,利兹联,1-1, 曼城,7.87,5.25,1.35,欧/析,,20-21
3,10-04 03:00,4,纽卡斯尔,3-1, 伯恩利,2.46,3.10,3.10,欧/析,,20-21
4,10-04 19:00,4,莱切城,0-3, 西汉姆,1.54,4.27,5.76,欧/析,,20-21
5,10-04 19:00,4,南安普敦,2-0, 西布朗,1.74,3.66,4.70,欧/析,,20-21
6,10-04 21:00,4,阿森纳,2-1, 谢菲联,1.55,3.93,6.35,欧/析,,20-21
7,10-04 21:00,4,狼队,1-0, 富勒姆,1.49,4.17,7.12,欧/析,,20-21
8,10-04 23:30,4,曼联,1-6, 热刺,1.94,3.50,3.89,欧/析,,20-21
9,10-05 02:15,4,维拉,7-2, 利物浦,7.95,5.10,1.35,欧/析,,20-21
0,10-17 19:30,5,埃弗顿,2-2, 利物浦,5.17,4.17,1.62,欧/析,,20-21
1,10-17 22:00,5,切尔西,3-3, 南安普敦,1.52,4.64,5.67,欧/析,,20-21
2,10-18 00:30,5,曼城,1-0, 阿森纳,1.41,5.16,6.75,欧/析,,20-21
3,10-18 03:00,5,纽卡斯尔,1-4, 曼联,5.64,4.22,1.56,欧/析,,20-21
4,10-18 19:00,5,谢菲联,1-1, 富勒姆,1.84,3.41,4.71,欧/析,,20-21
5,10-18 21:00,5,水晶宫,1-1, 布莱顿,2.54,3.16,2.96,欧/析,,20-21
6,10-18 23:30,5,热刺,3-3, 西汉姆,1.51,4.37,6.24,欧/析,,20-21
7,10-19 02:15,5,莱切城,0-1, 维拉,1.60,4.25,5.36,欧/析,,20-21
